Note:  spreadsheet of desirable parking spots,,,,
,,,,
_preference,_space_number,_space_name,_level,_observation_date
1,48,,1,7/13/2020
1,49,,1,7/13/2020
1,50,,1,6/23/2020
1,51,,1,7/13/2020
1,52,,1,6/23/2020
1,85,,1,7/13/2020
1,86,,1,7/13/2020
1.1,47,,1,7/13/2020
1.1,53,,1,7/13/2020
1.1,85,,1,6/23/2020
1.1,87,,1,7/13/2020
1.2,46,,1,6/23/2020
1.2,54,,1,7/13/2020
1.2,84,,1,7/13/2020
1.2,88,,1,7/13/2020
1.3,45,,1,6/23/2020
1.3,55,,1,7/13/2020
1.3,84,,1,6/23/2020
1.3,89,,1,7/13/2020
1.4,44,,1,6/23/2020
1.4,56,,1,6/23/2020
1.4,83,,1,7/13/2020
1.4,90,,1,6/23/2020
1.5,43,,1,6/23/2020
1.5,57,,1,6/23/2020
1.5,83,,1,6/23/2020
1.5,90,,1,7/13/2020
1.6,58,,1,7/13/2020
1.6,82,,1,7/13/2020
1.6,91,,1,7/13/2020
1.7,59,,1,7/13/2020
1.7,81,,1,7/13/2020
1.7,92,,1,6/23/2020
1.8,60,,1,6/23/2020
1.8,80,,1,7/13/2020
1.8,92,,1,7/13/2020
1.9,61,ron jones,1,6/23/2020
1.9,62,,1,6/23/2020
1.9,93,,1,6/23/2020
2,94,,1,7/13/2020
2.1,95,,1,7/13/2020
